amenity_id,amenity_name
1,Pets Allowed
2,Pool
3,TV
4,Elevator in Building
5,Iron
6,First Aid Kit
7,Safety Card
8,Internet
9,Gym
10,Pets live on this property
11,Other pet(s)
12,Wheelchair Accessible
13,Wireless Internet
14,24-Hour Check-in
15,Free Parking on Premises
16,Shampoo
17,Laptop Friendly Workspace
18,Cable TV
19,Hair Dryer
20,Carbon Monoxide Detector
21,Fire Extinguisher
22,Hot Tub
23,Dog(s)
24,Lock on Bedroom Door
25,Washer
26,Smoking Allowed
27,Family/Kid Friendly
28,translation missing: en.hosting_amenity_50
29,Essentials
30,Dryer
31,Doorman
32,Smoke Detector
33,Indoor Fireplace
34,Breakfast
35,Air Conditioning
36,Heating
37,Kitchen
38,translation missing: en.hosting_amenity_49
39,Washer / Dryer
40,Suitable for Events
41,Hangers
42,Cat(s)
43,Buzzer/Wireless Intercom
44,""
